gate 1 (cz, q56, q57)
gate 2 (h, q54)
    gate 625 (x, q0)
    gate 626 (x, q11)
    gate 627 (rz, q1)
    gate 628 (z, q16)
    gate 629 (z, q2)
    gate 630 (rx, q9)
    gate 631 (rx, q8)
    gate 632 (rz, q3)
    gate 633 (cx, q4, q5)
    gate 634 (cz, q18, q19)
    gate 635 (cz, q0, q1)
    gate 636 (rz, q11)
    gate 637 (z, q12)
    gate 638 (rz, q8)
    gate 639 (z, q10)
    gate 640 (rx, q17)
    gate 641 (z, q3)
    gate 642 (z, q15)
    gate 643 (h, q16)
    gate 644 (rx, q9)
    gate 645 (rx, q2)
    gate 646 (swap, q5, q6)
    gate 647 (cx, q6, q7)
    gate 648 (h, q7)
    gate 649 (rx, q6)
    gate 650 (h, q7)
    gate 651 (h, q6)
    gate 652 (cx, q6, q7)
    gate 653 (cz, q6, q7)
    gate 654 (cx, q6, q7)
    gate 655 (rx, q6)
    gate 656 (rz, q7)
    gate 657 (cx, q6, q7)
    gate 658 (x, q7)
    gate 659 (x, q6)
    gate 660 (h, q6)
    gate 661 (z, q7)
    gate 662 (swap, q12, q14)
    gate 663 (cz, q13, q14)
    gate 664 (rx, q13)
    gate 665 (x, q14)
    gate 666 (rz, q13)
    gate 667 (rz, q14)
    gate 668 (cx, q13, q14)
    gate 669 (x, q13)
    gate 670 (h, q14)
    gate 671 (z, q13)
    gate 672 (x, q14)
    gate 673 (cz, q13, q14)
    gate 674 (swap, q5, q6)
    gate 675 (swap, q12, q14)
  }
  gate 676 (swap, q15, q4)
  gate 677 (swap, q18, q14)
  gate 678 (swap, q21, q20)
  gate 679 (swap, q22, q20)
  gate 680 (cz, q20, q4)
  gate 681 (cx, q20, q4)
  gate 682 (x, q4)
  gate 683 (rx, q20)
  gate 684 (cz, q20, q4)
  gate 685 (cz, q20, q4)
  gate 686 (rx, q20)
  gate 687 (z, q4)
  gate 688 (cz, q20, q4)
  gate 689 (cx, q20, q4)
  gate 690 (cx, q20, q4)
  gate 691 (z, q4)
  gate 692 (x, q20)
  gate 693 (swap, q19, q14)
  gate 694 (swap, q21, q14)
  gate 695 (swap, q22, q14)
  gate 696 (swap, q20, q14)
  gate 697 (swap, q23, q14)
  gate 698 (swap, q10, q11)
  gate 699 (swap, q34, q25)
  gate 700 (swap, q34, q14)
  gate 701 (swap, q9, q11)
  gate 702 (swap, q30, q29)
  gate 703 (swap, q26, q30)
  gate 704 (swap, q30, q27)
  gate 705 (swap, q30, q25)
  gate 706 (cx, q30, q14)
  gate 707 (cx, q30, q14)
  gate 708 (cx, q30, q14)
  gate 709 (cx, q30, q14)
  gate 710 (h, q30)
  gate 711 (x, q14)
  gate 712 (cz, q30, q14)
  gate 713 (rz, q14)
  gate 714 (rx, q30)
  gate 715 (cz, q30, q14)
  gate 716 (rz, q30)
  gate 717 (h, q14)
  gate 718 (cx, q30, q14)
  gate 719 (swap, q16, q25)
  gate 720 (swap, q25, q8)
  gate 721 (cx, q25, q11)
  gate 722 (h, q25)
  gate 723 (h, q11)
  gate 724 (cz, q25, q11)
  gate 725 (cz, q25, q11)
  gate 726 (h, q25)
  gate 727 (h, q11)
  gate 728 (cx, q25, q11)
  gate 729 (cx, q25, q11)
  gate 730 (x, q11)
  gate 731 (rx, q25)
  gate 732 (rx, q25)
  gate 733 (rz, q11)
  gate 734 (cz, q25, q11)
  gate 735 (swap, q50, q32)
  gate 736 (cz, q48, q32)
  gate 737 (rx, q48)
  gate 738 (h, q32)
  gate 739 (x, q48)
  gate 740 (h, q32)
  gate 741 (cx, q48, q32)
  gate 742 (cx, q48, q32)
  gate 743 (cz, q48, q32)
  gate 744 (h, q48)
  gate 745 (z, q32)
  gate 746 (cz, q48, q32)
  gate 747 (swap, q16, q8)
  gate 748 (cx, q27, q8)
  gate 749 (h, q8)
  gate 750 (x, q27)
  gate 751 (cx, q27, q8)
  gate 752 (rx, q8)
  gate 753 (z, q27)
  gate 754 (rz, q27)
  gate 755 (rx, q8)
  gate 756 (cz, q27, q8)
  gate 757 (h, q8)
  gate 758 (z, q27)
  gate 759 (cx, q27, q8)
  gate 760 (z, q8)
  gate 761 (h, q27)
  gate 762 (swap, q33, q22)
  gate 763 (swap, q25, q7)
  gate 764 (swap, q26, q29)
  gate 765 (swap, q41, q42)
  gate 766 (cx, q22, q42)
  gate 767 (cx, q22, q42)
  gate 768 (rx, q22)
  gate 769 (h, q42)
  gate 770 (rx, q22)
  gate 771 (rx, q42)
  gate 772 (cz, q22, q42)
  gate 773 (x, q42)
  gate 774 (rx, q22)
  gate 775 (rx, q42)
  gate 776 (rz, q22)
  gate 777 (h, q22)
  gate 778 (rx, q42)
  gate 779 (cz, q22, q42)
  gate 780 (x, q42)
  gate 781 (z, q22)
  gate 782 (swap, q16, q7)
  gate 783 (swap, q27, q29)
  gate 784 (swap, q8, q7)
  gate 785 (cz, q7, q29)
  gate 786 (cx, q7, q29)
  gate 787 (rx, q29)
  gate 788 (h, q7)
  gate 789 (cx, q7, q29)
  gate 790 (cx, q7, q29)
  gate 791 (rz, q7)
  gate 792 (rz, q29)
  gate 793 (swap, q17, q12)
  gate 794 (swap, q51, q47)
  gate 795 (swap, q31, q12)
  gate 796 (swap, q26, q12)
  gate 797 (swap, q27, q12)
  gate 798 (swap, q46, q12)
  gate 799 (cz, q12, q47)
  gate 800 (x, q47)
  gate 801 (x, q12)
  gate 802 (cz, q12, q47)
  gate 803 (h, q12)
  gate 804 (h, q47)
  gate 805 (rz, q47)
  gate 806 (rx, q12)
  gate 807 (rx, q12)
  gate 808 (rx, q47)
  gate 809 (h, q12)
  gate 810 (rx, q47)
  gate 811 (cx, q12, q47)
  gate 812 (swap, q15, q4)
  gate 813 (swap, q16, q8)
  gate 814 (swap, q11, q9)
  gate 815 (swap, q33, q22)
  gate 816 (swap, q34, q14)
  gate 817 (swap, q46, q12)
  gate 818 (swap, q50, q32)
  gate 819 (swap, q42, q41)
  gate 820 (swap, q47, q51)
  gate 821 (swap, q9, q10)
  gate 822 (swap, q33, q20)
  gate 823 (swap, q23, q34)
  gate 824 (swap, q46, q27)
  gate 825 (swap, q20, q23)
  gate 826 (swap, q29, q46)
  gate 827 (swap, q27, q26)
  gate 828 (swap, q31, q26)
  gate 829 (swap, q17, q31)
  gate 830 (swap, q25, q16)
  gate 831 (swap, q16, q8)
  gate 832 (swap, q33, q20)
  gate 833 (swap, q30, q7)
  gate 834 (swap, q21, q33)
  gate 835 (swap, q7, q29)
  gate 836 (swap, q19, q21)
  gate 837 (swap, q18, q19)
  gate 838 (swap, q33, q20)
  gate 839 (swap, q30, q7)
  gate 840 (swap, q8, q7)
  gate 841 (swap, q16, q8)
  gate 842 (swap, q25, q16)
  gate 843 (swap, q30, q7)
  gate 844 (swap, q14, q30)
  gate 845 (swap, q29, q46)
  gate 846 (swap, q46, q27)
  gate 847 (swap, q29, q46)
  // else
  gate 848 (x, q40)
  gate 849 (x, q41)
  gate 850 (h, q2)
  gate 851 (z, q14)
  gate 852 (rz, q35)
  gate 853 (rx, q18)
  gate 854 (h, q6)
  gate 855 (rx, q19)
  gate 856 (rx, q3)
  gate 857 (z, q1)
  gate 858 (z, q16)
  gate 859 (z, q17)
  gate 860 (measure, q39)
  gate 861 (h, q17)
  gate 862 (h, q41)
  gate 863 (x, q18)
  gate 864 (rx, q2)
  gate 865 (rx, q1)
  gate 866 (h, q40)
  gate 867 (h, q3)
  gate 868 (z, q14)
  gate 869 (h, q6)
  gate 870 (x, q35)
  gate 871 (h, q1)
  gate 872 (rz, q18)
  gate 873 (rx, q40)
  gate 874 (z, q35)
  gate 875 (rz, q14)
  gate 876 (z, q17)
  gate 877 (x, q6)
  gate 878 (rz, q41)
  gate 879 (rx, q2)
  gate 880 (h, q3)
  gate 881 (h, q14)
  gate 882 (h, q6)
  gate 883 (rx, q40)
  gate 884 (rz, q41)
  gate 885 (x, q3)
  gate 886 (z, q35)
  gate 887 (rz, q6)
  gate 888 (rx, q40)
  gate 889 (z, q3)
  gate 890 (z, q14)
  gate 891 (rz, q41)
  gate 892 (h, q35)
  gate 893 (rz, q40)
  gate 894 (x, q6)
  gate 895 (rz, q14)
  gate 896 (x, q35)
  gate 897 (x, q41)
  gate 898 (h, q3)
  gate 899 (x, q3)
  gate 900 (z, q6)
  gate 901 (h, q35)
  gate 902 (rz, q41)
  gate 903 (rz, q40)
  gate 904 (rz, q14)
  gate 905 (rz, q3)
  gate 906 (z, q35)
  gate 907 (h, q40)
  gate 908 (rz, q6)
  gate 909 (rz, q41)
  gate 910 (h, q14)
  gate 911 (z, q14)
  gate 912 (rx, q6)
  gate 913 (rx, q35)
  gate 914 (rz, q3)
  gate 915 (x, q40)
  gate 916 (x, q41)
  gate 917 (rz, q41)
  gate 918 (h, q14)
  gate 919 (rz, q6)
  gate 920 (x, q40)
  gate 921 (x, q3)
  gate 922 (x, q35)
  gate 923 (swap, q12, q13)
  gate 924 (swap, q17, q13)
  gate 925 (swap, q31, q13)
  gate 926 (swap, q35, q13)
  gate 927 (swap, q36, q13)
  gate 928 (cx, q32, q13)
  gate 929 (cz, q32, q13)
  gate 930 (cx, q32, q13)
  gate 931 (rz, q13)
  gate 932 (rx, q32)
  gate 933 (cx, q32, q13)
  gate 934 (cx, q32, q13)
  gate 935 (cx, q32, q13)
  gate 936 (cz, q32, q13)
  gate 937 (cz, q32, q13)
  gate 938 (rx, q13)
  gate 939 (x, q32)
  gate 940 (swap, q22, q21)
  gate 941 (swap, q27, q26)
  gate 942 (swap, q26, q34)
  gate 943 (swap, q23, q21)
  gate 944 (swap, q25, q21)
  gate 945 (cz, q21, q26)
  gate 946 (cx, q21, q26)
  gate 947 (cx, q21, q26)
  gate 948 (rx, q26)
  gate 949 (x, q21)
  gate 950 (cx, q21, q26)
  gate 951 (cx, q21, q26)
  gate 952 (cx, q21, q26)
  gate 953 (h, q21)
  gate 954 (x, q26)
  gate 955 (z, q21)
  gate 956 (rx, q26)
  gate 957 (cx, q21, q26)
  gate 958 (swap, q11, q17)
  gate 959 (swap, q3, q2)
  gate 960 (swap, q20, q19)
  gate 961 (swap, q10, q17)
  gate 962 (swap, q9, q17)
  gate 963 (swap, q8, q17)
  gate 964 (swap, q7, q17)
  gate 965 (swap, q6, q17)
  gate 966 (swap, q5, q17)
  gate 967 (swap, q4, q17)
  gate 968 (cz, q17, q2)
  gate 969 (x, q2)
  gate 970 (x, q17)
  gate 971 (cz, q17, q2)
  gate 972 (cz, q17, q2)
  gate 973 (cz, q17, q2)
  gate 974 (cz, q17, q2)
  gate 975 (cz, q17, q2)
  gate 976 (swap, q22, q19)
  gate 977 (swap, q23, q19)
  gate 978 (swap, q25, q19)
